Year	Annual Mean 
1878	9.28
1879	7.25
1880	9.00
1881	8.45
1882	9.09
1883	8.92
1884	9.55
1885	8.45
1886	8.42
1887	8.08
1888	8.11
1889	8.62
1890	8.50
1891	8.47
1892	8.03
1893	9.73
1894	9.13
1895	8.62
1896	9.15
1897	9.24
1898	9.79
1899	9.58
1900	9.37
1901	8.77
1902	8.59
1903	9.14
1904	8.91
1905	9.05
1906	9.40
1907	8.73
1908	9.03
1909	8.42
1910	9.15
1912	9.38
1913	9.68
1914	9.72
1915	8.64
1916	8.66
1918	9.09
1919	8.07
1920	9.16
1921	10.20
1922	8.33
1923	8.71
1924	8.98
1925	8.73
1926	9.29
1927	8.62
1928	9.13
1929	8.71
1930	9.10
1931	8.65
1932	9.02
1933	9.55
1934	9.59
1935	9.39
1936	8.86
1937	9.17
1938	9.62
1939	9.20
1940	8.58
1941	8.68
1942	8.72
1943	9.78
1944	9.18
1945	9.92
1946	9.11
1947	9.37
1948	9.70
1949	10.21
1950	9.13
1951	9.01
1952	8.93
1953	9.39
1954	8.92
1955	8.99
1956	8.42
1957	9.80
1958	9.21
1959	10.03
1960	9.33
1961	9.74
1962	8.16
1963	7.90
1964	9.09
1965	8.55
1966	9.14
1967	9.36
1968	8.97
1969	8.98
1970	9.12
1971	9.31
1972	8.93
1973	9.37
1974	9.29
1975	9.60
1976	9.80
1977	9.15
1978	9.09
1979	8.47
1980	8.92
1981	8.82
1982	9.52
1983	9.73
1984	9.35
1985	8.56
1986	8.44
1987	8.68
1988	9.42
1989	10.33
1990	10.25
1991	9.09
1992	9.76
1993	9.44
1994	10.23
1995	10.32
1996	8.97
1997	10.38
1998	10.04
1999	10.49
2000	10.20
2001	9.94
2002	10.61
2003	10.51
2004	10.40
2005	10.23
2006	10.84
2007	10.46
2008	9.99
2009	10.13
2010	9.01
2011	10.82
2012	9.77
2013	9.52
2014	11.23
2015	10.47
2016	10.37
2017	10.62
2018	10.79
2019	10.48
2020	11.09
2021	10.31
2022	11.23
