plot,treatment,colour,year,grain
10,N4,#8FBC8F,1968,2.03
11,N4 PMg,#7FFFD4,1968,1.87
12,N1+N3+N1 PKMg,#228B22,1968,1.63
13,N4 PK,#6B8E23,1968,3.48
14,N4 PKMg*,#008080,1968,3.78
15,N5 PKMg,#00008B,1968,4.05
16,N6 PKMg,#7B68EE,1968,3.82
17,N1+N4+N1 PKMg,#32CD32,1968,4.1
18,N1+N2+N1 PKMg,#FFD700,1968,4.07
19,N1+N1+N1 KMg,#FF8C00,1968,2
21,FYM N2,#8B0000,1968,4.57
22,FYM,#FF0000,1968,4.38
3,Nil,#00BFFF,1968,1.46
5,PKMg,#FF00FF,1968,1.74
6,N1 PKMg,#FF4500,1968,3.12
7,N2 PKMg,#9ACD32,1968,3.9
8,N3 PKMg,#00FA9A,1968,3.98
9,N4 PKMg,#00FFFF,1968,3.84
10,N4,#8FBC8F,1969,3.31
11,N4 PMg,#7FFFD4,1969,3.41
12,N1+N3+N1 PKMg,#228B22,1969,4
13,N4 PK,#6B8E23,1969,5.81
14,N4 PKMg*,#008080,1969,5.79
15,N5 PKMg,#00008B,1969,5.72
16,N6 PKMg,#7B68EE,1969,5.26
17,N1+N4+N1 PKMg,#32CD32,1969,5.32
18,N1+N2+N1 PKMg,#FFD700,1969,5.46
19,N1+N1+N1 KMg,#FF8C00,1969,3.25
21,FYM N2,#8B0000,1969,6.04
22,FYM,#FF0000,1969,5.65
3,Nil,#00BFFF,1969,1.76
5,PKMg,#FF00FF,1969,2.25
6,N1 PKMg,#FF4500,1969,4.23
7,N2 PKMg,#9ACD32,1969,5.42
8,N3 PKMg,#00FA9A,1969,6.2
9,N4 PKMg,#00FFFF,1969,6.01
10,N4,#8FBC8F,1970,1.79
11,N4 PMg,#7FFFD4,1970,2.51
12,N1+N3+N1 PKMg,#228B22,1970,4.09
13,N4 PK,#6B8E23,1970,4.55
14,N4 PKMg*,#008080,1970,4.06
15,N5 PKMg,#00008B,1970,4.34
16,N6 PKMg,#7B68EE,1970,3.94
