year,plot,grain,strip,seriesDate
1844,10,1.13,10,01-01-1844
1844,11,1.25,11,01-01-1844
1844,12,1.13,12,01-01-1844
1844,13,1.2,13,01-01-1844
1844,14,1.14,14,01-01-1844
1844,15,1.23,15,01-01-1844
1844,16,1.46,16,01-01-1844
1844,17,1.39,17,01-01-1844
1844,18,1.53,18,01-01-1844
1844,19,1.77,19,01-01-1844
1844,2,1.43,2,01-01-1844
1844,3,1.03,3,01-01-1844
1844,4,1,4,01-01-1844
1844,5,1.07,5,01-01-1844
1844,6,1.08,6,01-01-1844
1844,7,1.1,7,01-01-1844
1844,8,1.1,8,01-01-1844
1844,9,1.43,9,01-01-1844
1845,10,2.22,10,01-01-1845
1845,11,2.11,11,01-01-1845
1845,12,2.06,12,01-01-1845
1845,13,1.75,13,01-01-1845
1845,14,1.95,14,01-01-1845
1845,15,2.36,15,01-01-1845
1845,16,2.27,16,01-01-1845
1845,17,2.35,17,01-01-1845
1845,18,2.3,18,01-01-1845
1845,19,2.37,19,01-01-1845
1845,2,2.21,2,01-01-1845
1845,3,1.62,3,01-01-1845
1845,4,2.11,4,01-01-1845
1845,5a,1.6,5,01-01-1845
1845,5b,1.94,5,01-01-1845
1845,6,2.1,6,01-01-1845
1845,7,1.89,7,01-01-1845
1845,8,1.92,8,01-01-1845
1845,9,2.39,9,01-01-1845
1846,10a,2.07,10,01-01-1846
1846,10b,1.36,10,01-01-1846
1846,11a,1.82,11,01-01-1846
1846,11b,2.3,11,01-01-1846
1846,12a,1.86,12,01-01-1846
1846,12b,2.19,12,01-01-1846
1846,13a,1.86,13,01-01-1846
1846,13b,2.24,13,01-01-1846
1846,14a,1.8,14,01-01-1846
1846,14b,2.03,14,01-01-1846
1846,15a,2.37,15,01-01-1846
1846,15b,2.09,15,01-01-1846
1846,16a,1.78,16,01-01-1846
1846,16b,2.26,16,01-01-1846
1846,17a,2.51,17,01-01-1846
1846,17b,2.28,17,01-01-1846
1846,18a,2.3,18,01-01-1846
1846,18b,1.65,18,01-01-1846
1846,19a,2.12,19,01-01-1846
1846,2,2.05,2,01-01-1846
1846,3,1.35,3,01-01-1846
1846,4,1.99,4,01-01-1846
1846,5a-1,1.46,5,01-01-1846
1846,5a-2,2.05,5,01-01-1846
1846,5b-1,1.79,5,01-01-1846
1846,5b-2,2.33,5,01-01-1846
1846,6a,1.57,6,01-01-1846
1846,6b,2.21,6,01-01-1846
1846,7a,1.72,7,01-01-1846
1846,7b,2.42,7,01-01-1846
1846,8a,1.74,8,01-01-1846
1846,8b,2.23,8,01-01-1846
1846,9a,1.81,9,01-01-1846
1846,9b,2.18,9,01-01-1846
1847,10a,1.91,10,01-01-1847
1847,10b,1.91,10,01-01-1847
1847,11a,2.29,11,01-01-1847
1847,11b,2.18,11,01-01-1847
1847,12a,2.19,12,01-01-1847
1847,12b,2.01,12,01-01-1847
1847,13a,2.2,13,01-01-1847
1847,13b,2.02,13,01-01-1847
1847,14a,2.18,14,01-01-1847
1847,14b,2.08,14,01-01-1847
1847,15a,2.48,15,01-01-1847
1847,15b,2.4,15,01-01-1847
1847,16a,2.2,16,01-01-1847
1847,16b,2.56,16,01-01-1847
1847,17a,2.49,17,01-01-1847
1847,17b,2.59,17,01-01-1847
1847,18a,2.42,18,01-01-1847
1847,18b,2.27,18,01-01-1847
1847,19,2.46,19,01-01-1847
1847,2,2.22,2,01-01-1847
1847,3,1.26,3,01-01-1847
1847,4,2,4,01-01-1847
1847,5a,2.15,5,01-01-1847
1847,5b,2.39,5,01-01-1847
1847,6a,1.86,6,01-01-1847
1847,6b,1.83,6,01-01-1847
1847,7a,2.06,7,01-01-1847
1847,7b,1.89,7,01-01-1847
1847,8a,2.37,8,01-01-1847
1847,8b,2.26,8,01-01-1847
1847,9a-1,0,9,01-01-1847
1847,9a-2,1.97,9,01-01-1847
1847,9b,1.92,9,01-01-1847
1848,10a,1.5,10,01-01-1848
1848,10b,1.8,10,01-01-1848
1848,11a,2.22,11,01-01-1848
1848,11b,1.84,11,01-01-1848
1848,12a,2.17,12,01-01-1848
1848,12b,1.92,12,01-01-1848
1848,13a,2.19,13,01-01-1848
1848,13b,1.94,13,01-01-1848
1848,14a,2.06,14,01-01-1848
1848,14b,1.93,14,01-01-1848
1848,15a,1.76,15,01-01-1848
1848,15b,1.8,15,01-01-1848
1848,16a,2.21,16,01-01-1848
1848,16b,2.18,16,01-01-1848
1848,17a,2.17,17,01-01-1848
1848,17b,2.18,17,01-01-1848
1848,18a,1.94,18,01-01-1848
1848,18b,2.02,18,01-01-1848
1848,19,2.06,19,01-01-1848
1848,2,1.91,2,01-01-1848
1848,3,1.07,3,01-01-1848
1848,4,1.77,4,01-01-1848
1848,5a,2.14,5,01-01-1848
1848,5b,2.17,5,01-01-1848
1848,6a,1.87,6,01-01-1848
1848,6b,1.95,6,01-01-1848
1848,7a,2.17,7,01-01-1848
1848,7b,2.2,7,01-01-1848
1848,8a,1.42,8,01-01-1848
1848,8b,1.42,8,01-01-1848
1848,9a,1.32,9,01-01-1848
1848,9b,1.87,9,01-01-1848
1849,10a,2.4,10,01-01-1849
1849,10b,2.42,10,01-01-1849
1849,11a,2.6,11,01-01-1849
1849,11b,2.41,11,01-01-1849
1849,12a,2.69,12,01-01-1849
1849,12b,2.55,12,01-01-1849
1849,13a,2.62,13,01-01-1849
1849,13b,2.63,13,01-01-1849
1849,14a,2.54,14,01-01-1849
1849,14b,2.38,14,01-01-1849
1849,15a,2.36,15,01-01-1849
1849,15b,2.25,15,01-01-1849
1849,16a,2.53,16,01-01-1849
1849,16b,2.54,16,01-01-1849
1849,17a,2.6,17,01-01-1849
1849,17b,2.53,17,01-01-1849
1849,18a,2.42,18,01-01-1849
1849,18b,2.51,18,01-01-1849
1849,19,2.24,19,01-01-1849
1849,2,2.32,2,01-01-1849
1849,3,1.38,3,01-01-1849
1849,4,2.31,4,01-01-1849
1849,5a,2.74,5,01-01-1849
1849,5b,2.97,5,01-01-1849
1849,6a,2.7,6,01-01-1849
1849,6b,2.78,6,01-01-1849
1849,7a,2.89,7,01-01-1849
1849,7b,2.84,7,01-01-1849
1849,8a,1.66,8,01-01-1849
1849,8b,2.33,8,01-01-1849
1849,9a,2.28,9,01-01-1849
1849,9b,1.65,9,01-01-1849
1850,10a,1.93,10,01-01-1850
1850,10b,1.31,10,01-01-1850
1850,11a,2.24,11,01-01-1850
1850,11b,2.17,11,01-01-1850
1850,12a,2.17,12,01-01-1850
1850,12b,2.26,12,01-01-1850
1850,13a,2.27,13,01-01-1850
1850,13b,2.2,13,01-01-1850
1850,14a,2.27,14,01-01-1850
1850,14b,2.24,14,01-01-1850
1850,15a,1.9,15,01-01-1850
1850,15b,2.18,15,01-01-1850
1850,16a,2.39,16,01-01-1850
1850,16b,2.42,16,01-01-1850
1850,17a,2.23,17,01-01-1850
1850,17b,2.2,17,01-01-1850
1850,18a,2.17,18,01-01-1850
1850,18b,2.07,18,01-01-1850
1850,19,2.07,19,01-01-1850
1850,2,2.09,2,01-01-1850
1850,3,1.12,3,01-01-1850
1850,4,2,4,01-01-1850
1850,5a,2.21,5,01-01-1850
1850,5b,2.26,5,01-01-1850
1850,6a,2.2,6,01-01-1850
1850,6b,2.22,6,01-01-1850
1850,7a,2.39,7,01-01-1850
1850,7b,2.37,7,01-01-1850
1850,8a,2.08,8,01-01-1850
1850,8b,2.18,8,01-01-1850
1850,9a,2.19,9,01-01-1850
1850,9b,1.98,9,01-01-1850
1851,10a,2.2,10,01-01-1851
1851,10b,2.17,10,01-01-1851
1851,11a,2.48,11,01-01-1851
1851,11b,2.42,11,01-01-1851
1851,12a,2.5,12,01-01-1851
1851,12b,2.47,12,01-01-1851
1851,13a,2.36,13,01-01-1851
1851,13b,2.34,13,01-01-1851
1851,14a,2.38,14,01-01-1851
1851,14b,2.38,14,01-01-1851
1851,15a,2.06,15,01-01-1851
1851,15b,2.33,15,01-01-1851
1851,16a,2.8,16,01-01-1851
1851,16b,2.8,16,01-01-1851
1851,17a,2.41,17,01-01-1851
1851,17b,2.33,17,01-01-1851
1851,18a,2.34,18,01-01-1851
1851,18b,2.34,18,01-01-1851
